miejsce.zamieszkania	wielkość.rodziny	jedzie.na.wakacje	dochód
miasto	duże	nie	850
miasto	duże	nie	800
miasto	duże	nie	700
miasto	małe	tak	800
miasto	małe	tak	1100
miasto	małe	tak	950
miasto	małe	tak	900
miasto	małe	tak	1250
miasto	małe	tak	1000
miasto	małe	tak	900
wieś	duże	nie	500
wieś	duże	tak	800
wieś	małe	tak	800
wieś	małe	tak	800
wieś	duże	nie	700
miasto	duże	tak	650
miasto	małe	nie	1000
wieś	duże	nie	500
wieś	duże	nie	700
wieś	duże	nie	600
wieś	duże	tak	750
miasto	małe	tak	650
wieś	małe	tak	800
miasto	małe	tak	850
miasto	małe	tak	1500
wieś	duże	nie	550
wieś	duże	nie	600
wieś	duże	tak	750
miasto	małe	tak	700
miasto	małe	nie	1500
wieś	duże	nie	700
wieś	duże	nie	600
wieś	duże	tak	750
wieś	małe	tak	1000
wieś	małe	tak	800
miasto	małe	tak	1200
miasto	duże	tak	900
wieś	duże	tak	750
wieś	duże	nie	700
wieś	małe	tak	800
miasto	małe	tak	1200
miasto	małe	tak	900
wieś	duże	nie	550
wieś	duże	nie	600
miasto	małe	tak	1200
miasto	małe	tak	1100
miasto	małe	nie	1500
wieś	duże	nie	700
wieś	duże	nie	600
wieś	małe	tak	1000
wieś	małe	tak	1000
wieś	małe	tak	800
